source,key,sbdb_query,fullname,sbdb_des,sbdb_class,sbdb_class_name,a_au,e,i_deg,q_au,T_J,group
spherex,10P,10P,10P/Tempel 2,10P,JFc,Jupiter-family Comet,3.06,0.537,12.0,1.42,2.96612952228608,JFC
spherex,124P,124P,124P/Mrkos,124P,JFc,Jupiter-family Comet,3.32,0.504,31.5,1.65,2.743885917443792,JFC
spherex,131P,131P,131P/Mueller 2,131P,JFc,Jupiter-family Comet,3.68,0.343,7.36,2.42,2.980928068194899,JFC
spherex,145P,145P,145P/Shoemaker-Levy 5,145P,JFc,Jupiter-family Comet,4.14,0.541,11.3,1.9,2.728190769587032,JFC
spherex,161P,161P,161P/Hartley-IRAS,161P,HTC,Halley-type Comet*,7.72,0.835,95.8,1.27,0.5386387792436834,HTC
spherex,164P,164P,164P/Christensen,164P,JFc,Jupiter-family Comet,3.66,0.54,16.3,1.69,2.7768111729050355,JFC
spherex,171P,171P,171P/Spahr,171P,JFc,Jupiter-family Comet,3.56,0.502,21.9,1.77,2.7892146033618923,JFC
spherex,172P,172P,172P/Yeung,172P,JFc,Jupiter-family Comet,4.18,0.223,11.3,3.25,2.95842676939589,JFC
spherex,2014UN271,2014 UN271,C/2014 UN271 (Bernardinelli-Bernstein),2014 UN271,COM,Comet,14300.0,0.999,95.4,10.9,-0.44076320259802637,OCC
spherex,2019U5,2019 U5,C/2019 U5 (PANSTARRS),2019 U5,HYP,Hyperbolic Comet,-2530.0,1.0,114.0,3.62,,OCC
spherex,2021G2,2021 G2,C/2021 G2 (ATLAS),2021 G2,HYP,Hyperbolic Comet,-9130.0,1.0,48.5,4.98,,OCC
spherex,2022E2,2022 E2,C/2022 E2 (ATLAS),2022 E2,HYP,Hyperbolic Comet,-3570.0,1.0,137.0,3.67,,OCC
spherex,2022N2,2022 N2,C/2022 N2 (PANSTARRS),2022 N2,HYP,Hyperbolic Comet,-1180.0,1.0,5.5,3.83,,OCC
spherex,2022QE78,2022 QE78,C/2022 QE78 (ATLAS),2022 QE78,HYP,Hyperbolic Comet,-1280.0,1.0,36.6,5.48,,OCC
spherex,2022R3,2022 R3,C/2022 R3 (Leonard),2022 R3,HYP,Hyperbolic Comet,-6760.0,1.0,43.1,5.13,,OCC
spherex,2022R6,2022 R6,C/2022 R6 (PANSTARRS),2022 R6,HYP,Hyperbolic Comet,-1320.0,1.0,57.0,6.57,,OCC
spherex,2023A3,2023 A3,C/2023 A3 (Tsuchinshan-ATLAS),2023 A3,HYP,Hyperbolic Comet,-4100.0,1.0,139.0,0.391,,OCC
spherex,2023C2,2023 C2,C/2023 C2 (ATLAS),2023 C2,COM,Comet,2390.0,0.999,48.3,2.37,1.276967726430993,OCC
spherex,2023F3,2023 F3,C/2023 F3 (ATLAS),2023 F3,HYP,Hyperbolic Comet,-1490.0,1.0,146.0,5.19,,OCC
spherex,2023H5,2023 H5,C/2023 H5 (Lemmon),2023 H5,HYP,Hyperbolic Comet,-10700.0,1.0,97.9,4.31,,OCC
spherex,2023R1,2023 R1,C/2023 R1 (PANSTARRS),2023 R1,HYP,Hyperbolic Comet,-1560.0,1.0,149.0,3.57,,OCC
