designation,visit,r_hel,delta_au,q_peri,ecc,incl_deg,orbital_class,dynamical_group,q_co2,q_co2_err,q_co,measured_quantity,afrho,afrho_err,w1_flux_mjy,w1_flux_err_mjy,w2_flux_mjy,w2_flux_err_mjy,t_eff_k,phase_angle_deg,n_obs,mjd_midpoint,reference,instrument,regime,methodology,notes
C/2006 S3 (LONEOS),A,6.98,6.88,5.13,1,166.03,LPC,LPC,9.440e+26,1.520e+26,,Q_CO2^proxy (total CO+CO2),2518.55,575.62,0.42,0.1,0.48,0.12,108.25,8.1,10,56674.15406,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; also reported by Bauer et al. 2015, but from the WISE cryogenic prime mission, not this epoch"
C/2006 S3 (LONEOS),B,7.73,7.62,5.13,1,166.03,LPC,LPC,1.040e+27,2.000e+26,,Q_CO2^proxy (total CO+CO2),1532.95,372.55,0.19,0.05,0.31,0.08,102.87,7.5,6,56827.77698,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; also reported by Bauer et al. 2015, but from the WISE cryogenic prime mission, not this epoch"
C/2010 S1 (LINEAR),A,6.37,6.23,5.9,1,125.34,LPC,LPC,4.910e+26,1.290e+26,,Q_CO2^proxy (total CO+CO2),2963.15,669.20,0.65,0.15,0.55,0.13,113.32,9.1,8,56772.99272,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2011 J2-B (LINEAR),B,3.99,3.82,3.44,1,122.8,LPC,LPC,8.110e+26,5.800e+25,,Q_CO2^proxy (total CO+CO2),862.47,193.71,0.79,0.18,1.32,0.3,143.18,14.7,12,56871.81543,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Fragment of the split comet C/2011 J2 (LINEAR); fragments B and C are tabulated separately"
C/2011 J2-C (LINEAR),B,3.99,3.82,3.44,1,122.8,LPC,LPC,6.380e+26,5.200e+25,,Q_CO2^proxy (total CO+CO2),722.81,162.99,0.66,0.15,1.07,0.24,143.18,14.7,13,56871.81543,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Fragment of the split comet C/2011 J2 (LINEAR); fragments B and C are tabulated separately"
C/2012 K1 (PANSTARRS),A,2.86,2.63,1.05,1,142.43,LPC,LPC,3.220e+27,7.000e+25,,Q_CO2^proxy (total CO+CO2),2628.35,579.44,6.79,1.5,12.2,2.69,169.12,20.2,12,56714.06451,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2012 K1 (PANSTARRS),B,1.87,1.54,1.05,1,142.43,LPC,LPC,8.490e+27,6.000e+25,,Q_CO2^proxy (total CO+CO2),3033.16,667.44,31.41,6.91,90.48,19.9,209.14,32.6,4,56797.84754,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a"
C/2012 K1 (PANSTARRS),D,1.91,1.61,1.05,1,142.43,LPC,LPC,5.100e+27,5.000e+25,,Q_CO2^proxy (total CO+CO2),1726.51,380.09,16.38,3.61,49.11,10.81,206.94,31.1,12,56998.76674,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a"
C/2012 X1 (LINEAR),A,1.98,1.65,1.6,0.99,44.37,LPC,LPC,1.570e+28,1.000e+26,,Q_CO2^proxy (total CO+CO2),4112.45,904.88,35.41,7.79,130.2,28.64,203.25,30.6,22,56797.93967,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a"
C/2012 X1 (LINEAR),B,3.47,3.3,1.6,0.99,44.37,LPC,LPC,2.090e+27,7.000e+25,,Q_CO2^proxy (total CO+CO2),684.05,153.01,0.96,0.21,3.69,0.82,153.53,16.5,20,56962.41533,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 A1 (Siding Spring),A,3.82,3.67,1.4,1,129.03,LPC,LPC,2.320e+26,3.400e+25,,Q_CO2^proxy (total CO+CO2),370.72,85.05,0.38,0.09,0.5,0.12,146.33,14.9,10,56673.64942,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists"
C/2013 A1 (Siding Spring),B,1.88,1.54,1.4,1,129.03,LPC,LPC,1.980e+27,3.000e+25,,Q_CO2^proxy (total CO+CO2),683.73,150.72,7,1.54,20.67,4.55,208.59,32.7,9,56866.83340,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Rh < 2 au but the signal is coma-dominated (extended coma), per Gicquel+2023 Table 2 footnote a"
C/2013 E2 (Iwamoto),A,3.91,3.74,1.41,0.99,21.86,LPC,LPC,8.950e+25,2.290e+25,,Q_CO2^proxy (total CO+CO2),114.06,35.45,0.14,0.03,0.18,0.05,144.64,14.5,14,56653.62779,Gicquel et al. 2023,NEOWISE (WISE) W1 3.4 um / W2 4.6 um,near-IR,indirect,"Q_CO2^proxy: the full W2 (4.6 um) excess converted as if it were all CO2; it is a proxy for TOTAL CO+CO2, not a CO2-only rate. NEOWISE cannot separate CO2 nu3 (4.23 um) from CO v(1-0) (4.67 um), so no independent Q(CO) exists; Gicquel+2023 Table 1 misprints this object as C/2012 E2; orbital elements taken from that row"
