designation,date,r_hel,ta_deg,q_h2o,q_h2o_limit,q_co2,q_co2_limit,q_co,q_co_limit,q_co_q_co2,q_co_q_co2_err,q_co_q_h2o,q_co_q_h2o_err,q_co2_q_h2o,q_co2_q_h2o_err,one_over_a0,reference,instrument,regime,methodology,source_table,epoch_id,notes
1P/Halley,1986/03/06,0.79,61,4.500e+29,,1.800e+28,,5.000e+28,,2.78,0.5,0.11,0.016,0.04,0.005,,Combes et al. 1988,Vega 1 IKS,near-IR,direct,Table 2,T2-01,
9P/Tempel 1,2005/07/03,1.51,359,,,,,5.000e+26,,,,,,,,,Feldman et al. 2006,HST ACS/SBC,UV,direct,Table 2,T2-02,"CO from CO 4th Positive bands, 1 day pre-impact"
9P/Tempel 1,2005/07/04,1.51,359,4.600e+27,,3.200e+26,,,,1.88,,0.13,,0.07,,,Feaga et al. 2007,Deep Impact/EPOXI HRI-IR,near-IR,direct,Table 2,T2-03,Pre-impact (July 4) water; ratios use the July 3 HST CO
21P/Giacobini-Zinner,2018/10/03,1.07,28,,,,,,,,,,,0.11,0.01,,Shinnaka et al. 2020,Subaru HDS,optical,indirect,Table 2,T2-04,Only the CO2/H2O ratio was published (from [O I] G/R); no production rates
21P/Giacobini-Zinner,2018/10/10,1.1,36,2.037e+28,,,,2.550e+26,,0.11,,0.013,0.002,,,,Roth et al. 2020,IRTF iSHELL,near-IR,direct,Table 2,T2-05,CO/CO2 formed by combining with the 2018/10/03 Subaru CO2/H2O ratio
22P/Kopff,2009/04/22,1.61,340,5.940e+27,,1.096e+27,,1.650e+26,<,0.15,,0.03,,0.18,0.03,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-06,CO upper limit; ratios involving CO are upper limits
29P/Schwassmann-Wachmann 1,2009/11/18,6.18,135,6.780e+27,,3.500e+26,<,2.915e+28,,83.2,,4.63,0.708,0.05,,,Ootsubo et al. 2012,AKARI IRC/NC,near-IR,direct,Table 2,T2-07,"CO2 upper limit; CO/CO2 is a lower limit (>83.2), CO2/H2O an upper limit (<0.05); note QCO/QH2O as published (4.630) differs from QCO/QH2O computed from the tabulated rates (4.30)"
46P/Wirtanen,2019/01/08,1.11,29,,,8.550e+26,,,,0.04,,,,0.15,,,McKay et al. 2021,Harlan J. Smith 2.7-m Telescope,optical,indirect,Table 2,T2-08,CO2 inferred from [O I] forbidden-oxygen lines; CO/CO2 is an upper limit (<0.04)
46P/Wirtanen,2019/01/11,1.13,33,5.700e+27,,,,3.100e+25,<,0.04,,0.005,,,,,McKay et al. 2021,IRTF iSHELL,near-IR,direct,Table 2,T2-09,CO upper limit; ratios involving CO are upper limits
67P/Churyumov-Gerasimenko,2014/08/23,3.5,229,5.000e+25,,7.000e+24,,2.100e+25,,3.06,,0.45,,0.15,,,Combi et al. 2020,Rosetta ROSINA DFMS,in situ,direct,Table 2,T2-10,Representative value; 67P was CO-dominant at ~3.5 au pre-perihelion
