target,phase,phase_update,arc,n_epoch,n_meas,r_hel_mean,r_hel_min,r_hel_max,spread,jd_start,jd_end,tspan_day,n_2.7um,n_4.3um,n_4.7um,parent_spread,was_split,manual
10P,1,1,in,36,71,3.6339683096173783,3.5376105308532715,3.69251012802124,0.04262546724967938,2460797.659870542,2460834.4152620994,36.75539155723527,3,5,2,0.04262546724967938,False,False
10P,2,2,in,102,202,1.9482370125185144,1.8684799671173096,2.0392167568206787,0.08763655992894581,2461105.4999013757,2461133.4713777546,27.97147637885064,4,6,18,0.08763655992894581,False,False
10P,3,3,in,8,16,1.6591109186410904,1.643269181251526,1.6867297887802124,0.02619511874726441,2461165.647831354,2461174.1377847595,8.489953405689448,2,1,0,0.02619511874726441,False,False
124P,1,1,in,84,163,2.679113275434342,2.5415172576904297,2.7336583137512207,0.071718153100354,2460955.104029428,2460992.0469503687,36.9429209404625,3,4,17,0.071718153100354,False,False
124P,2,2,in,109,214,1.8767423223112232,1.792227268218994,1.921440601348877,0.06884979978005493,2461122.7010309286,2461165.4759023013,42.77487137261778,3,7,25,0.06884979978005493,False,False
131P,1,1,in,85,170,2.8871325913597556,2.8468830585479736,2.918778896331787,0.0249021600182043,2460819.035725212,2460842.4038278153,23.368102603126317,5,9,15,0.0249021600182043,False,False
131P,2,2,in,82,161,2.459951046831119,2.4447062015533447,2.4792728424072266,0.01405175964717273,2460995.7385759423,2461021.949125104,26.21054916176945,9,11,10,0.01405175964717273,False,False
145P,1,1,in,77,152,2.875582971070942,2.7480599880218506,2.931187868118286,0.06368374063233305,2460805.103212163,2460838.667456094,33.56424393132329,3,9,9,0.06368374063233305,False,False
145P,2,2,in,93,184,2.0178436727627465,1.9591065645217896,2.0766544342041016,0.05825420039668902,2460977.5393894273,2461016.04494811,38.505558682605624,5,5,12,0.05825420039668902,False,False
161P,1,1,in,481,943,4.460489229078889,4.193519592285156,4.637973785400391,0.09964247648391164,2460950.1238244777,2461007.301774175,57.17794969724491,58,17,2,0.14000809143561235,True,False
161P,1,2,in,27,51,4.0932096874012665,4.016107559204102,4.179989814758301,0.04003759105198597,2461008.9955367576,2461029.2990127224,20.303475964814425,1,1,0,0.14000809143561235,True,False
164P,1,1,in,64,122,2.3878764246330886,2.3567099571228027,2.42953109741211,0.03049619299310955,2461004.4018434654,2461017.101304572,12.699461106676608,4,10,7,0.03049619299310955,False,False
164P,2,2,in,59,116,3.2605018656829308,3.205994129180908,3.281405448913574,0.023128746076294816,2461153.8633543425,2461167.91380262,14.050448277499527,6,2,8,0.023128746076294816,False,False
